County,MedianFamilyIncome,LATracts_half,LATracts1,HUNVFlag
Buena Vista County,69236.0,2,2,0.0
Buena Vista city,46216.0,1,1,1.0
Buffalo County,69185.0,7,6,0.11764705882352941
Bullitt County,70977.0,12,11,0.11764705882352941
Bulloch County,50171.5,6,3,0.5
Bullock County,33074.0,1,1,0.3333333333333333
Buncombe County,65656.0,36,26,0.19642857142857142
Bureau County,66663.0,3,3,0.3
Burke County,50951.0,9,8,0.36
Burleigh County,90313.0,14,8,0.3157894736842105
Burleson County,69464.0,1,1,0.0
Burlington County,97924.5,96,63,0.10526315789473684
Burnet County,64434.5,2,2,0.25
Burnett County,56461.0,0,0,0.0
Burt County,64200.0,0,0,0.0
Butler County,71601.0,107,77,0.27710843373493976
Butte County,61058.0,38,24,0.2830188679245283
Butts County,48147.0,1,1,0.6666666666666666
Cabarrus County,72197.0,28,19,0.1891891891891892
Cabell County,54163.0,19,6,0.35714285714285715
Cache County,66043.5,19,10,0.038461538461538464
Caddo County,56875.0,1,1,0.125
Caddo Parish,49487.0,51,33,0.5873015873015873
Calaveras County,78295.0,2,2,0.0
Calcasieu Parish,62011.5,38,20,0.2619047619047619
Caldwell County,54912.5,13,13,0.23333333333333334
Caldwell Parish,47500.0,0,0,0.6666666666666666
Caledonia County,66694.5,0,0,0.0
Calhoun County,54605.0,52,42,0.30526315789473685
Callahan County,60714.0,1,1,0.0
Callaway County,63285.5,2,2,0.25
Calloway County,64063.0,3,2,0.3333333333333333
Calumet County,76098.0,6,6,0.18181818181818182
Calvert County,117247.5,9,9,0.1111111111111111
Camas County,55875.0,0,0,0.0
Cambria County,60197.0,26,15,0.3333333333333333
Camden County,80565.5,110,55,0.2733333333333333
Cameron County,37476.0,65,35,0.2441860465116279
Cameron Parish,67125.0,0,0,0.0
Camp County,52838.0,1,1,0.3333333333333333
Campbell County,68791.0,30,21,0.32142857142857145
Canadian County,79238.0,21,14,0.034482758620689655
Candler County,32684.0,0,0,0.6666666666666666
Cannon County,63015.0,0,0,0.3333333333333333
Canyon County,52708.0,20,10,0.2413793103448276
Cape Girardeau County,63877.5,10,6,0.375
Cape May County,86823.0,22,18,0.15625
Carbon County,68556.0,8,6,0.1111111111111111
Caribou County,67430.5,0,0,0.0
Carlisle County,49318.0,0,0,0.0
Carlton County,70694.0,2,2,0.14285714285714285
Caroline County,70099.0,2,2,0.1875
Carroll County,69018.0,38,36,0.3025210084033613
Carson City,68750.0,10,5,0.0
Carson County,84482.0,0,0,0.0
Carter County,50096.0,16,14,0.18421052631578946
Carteret County,68019.0,21,15,0.027777777777777776
Carver County,118194.0,14,12,0.10526315789473684
Cascade County,60443.5,16,6,0.13636363636363635
Casey County,41750.0,0,0,0.2
Cass County,66462.0,52,25,0.14814814814814814
Cassia County,59875.0,1,0,0.16666666666666666
Castro County,49000.0,1,0,0.0
Caswell County,56814.0,0,0,0.6666666666666666
Catahoula Parish,59853.0,0,0,0.0
Catawba County,64185.0,20,19,0.41935483870967744
Catoosa County,70938.0,7,6,0.09090909090909091
Catron County,50286.0,0,0,0.0
Cattaraugus County,61808.5,4,2,0.5
Cavalier County,84596.0,0,0,0.0
Cayuga County,68977.0,7,2,0.2631578947368421
Cecil County,90313.0,7,7,0.3157894736842105
Cedar County,74062.0,2,1,0.1
Centre County,78025.5,14,7,0.25
Cerro Gordo County,73973.0,7,5,0.18181818181818182
Chaffee County,69258.0,2,1,0.2
Chambers County,53346.0,5,5,0.2857142857142857
Champaign County,71750.0,37,16,0.3469387755102041
Chariton County,58194.0,0,0,0.0
Charles City County,71923.0,0,0,0.0
Charles County,107331.0,19,15,0.1
Charles Mix County,54722.0,0,0,0.0
Charleston County,75647.0,65,32,0.27380952380952384
Charlevoix County,69583.0,2,0,0.0
Charlotte County,58038.0,34,28,0.14634146341463414
Charlottesville city,83681.0,9,3,0.36363636363636365
Charlton County,55700.0,0,0,0.5
Chase County,62309.5,0,0,0.0
Chatham County,60469.0,62,37,0.30864197530864196
Chattahoochee County,47187.5,3,3,0.25
Chattooga County,44836.5,3,3,0.16666666666666666
Chautauqua County,61944.0,16,7,0.37142857142857144
Chaves County,49273.5,9,7,0.0
Cheatham County,66583.0,2,1,0.0
Cheboygan County,55248.5,1,1,0.0
Chelan County,70132.5,7,5,0.2857142857142857
Chemung County,61328.0,13,6,0.23809523809523808
Chenango County,61030.0,0,0,0.25
Cherokee County,57750.0,39,36,0.2289156626506024
Cherry County,62656.0,0,0,0.0
Chesapeake city,89375.0,36,22,0.14634146341463414
Cheshire County,78500.0,6,5,0.125
Chester County,110000.0,97,76,0.17054263565891473
Chesterfield County,80320.0,68,55,0.14814814814814814
Cheyenne County,74177.0,2,0,0.0
Chickasaw County,64029.5,2,1,0.25
Chicot County,41239.5,2,1,0.75
Childress County,66271.5,1,1,0.5
Chilton County,54363.0,1,1,0.3333333333333333
Chippewa County,66055.0,9,7,0.19230769230769232
Chisago County,92055.0,5,5,0.4
Chittenden County,91239.0,20,10,0.2727272727272727
Choctaw County,48331.5,2,2,0.3333333333333333
Chouteau County,53902.5,0,0,0.0
Chowan County,56027.0,1,1,0.6666666666666666
Christian County,60467.0,21,13,0.21951219512195122
Churchill County,53333.0,3,2,0.14285714285714285
Cibola County,43906.0,3,2,0.42857142857142855
Cimarron County,57781.5,0,0,0.0
Citrus County,52390.0,15,14,0.4074074074074074
Clackamas County,89261.0,58,32,0.13924050632911392
Claiborne County,41542.0,0,0,0.25
Claiborne Parish,40179.0,1,1,0.4
Clallam County,67788.0,13,8,0.14285714285714285
Clare County,48021.0,1,0,0.18181818181818182
Clarendon County,48789.0,1,1,0.36363636363636365
Clarion County,59400.5,2,2,0.5
Clark County,67000.0,509,213,0.15295815295815296
Clarke County,56402.0,28,19,0.40425531914893614
Clatsop County,69714.0,4,1,0.18181818181818182
Clay County,63517.0,82,56,0.20714285714285716
Clayton County,49412.0,46,31,0.3090909090909091
Clear Creek County,72031.0,0,0,0.0
Clearfield County,58824.5,8,5,0.3
Clearwater County,55714.0,0,0,0.2
Cleburne County,51618.0,1,1,0.0
Clermont County,75625.0,29,27,0.28205128205128205
Cleveland County,65344.0,58,29,0.20238095238095238
Clinch County,36312.5,0,0,0.0
Clinton County,69044.0,36,23,0.30434782608695654
Cloud County,57232.5,2,1,0.0
Coahoma County,38489.0,2,1,0.42857142857142855
Coal County,54828.5,0,0,0.5
Cobb County,91001.5,119,88,0.14166666666666666
Cochise County,50560.5,17,13,0.21875
Cochran County,61667.0,0,0,0.0
Cocke County,43154.5,1,1,0.375
Coconino County,73735.5,15,10,0.17857142857142858
Codington County,73750.0,4,2,0.14285714285714285
Coffee County,52523.0,8,8,0.38235294117647056
Coffey County,73542.0,1,1,0.0
Coke County,59228.5,0,0,0.0
Colbert County,54211.5,8,6,0.42857142857142855
Cole County,68036.0,9,7,0.4
Coleman County,51476.0,1,1,0.0
Coles County,59583.5,10,7,0.5
Colfax County,57233.5,1,1,0.3333333333333333
Colleton County,48929.0,2,1,0.1111111111111111
Collier County,82583.0,65,37,0.2191780821917808
Collin County,109966.0,137,58,0.07236842105263158
Collingsworth County,50761.0,0,0,0.0
Colonial Heights city,55417.0,5,2,0.2
Colorado County,60089.0,1,1,0.0
Colquitt County,43201.5,4,3,0.4
Columbia County,71286.5,38,27,0.21875
Columbiana County,58345.0,11,9,0.2916666666666667
Columbus County,46171.0,1,1,0.5384615384615384
Colusa County,66389.0,2,2,0.0
Comal County,82800.0,10,8,0.08333333333333333
Comanche County,55744.0,23,11,0.2972972972972973
Concho County,57875.0,0,0,0.0
Concordia Parish,52988.0,2,2,0.4
Conecuh County,39970.0,0,0,0.2
